Timestamp,Time_s,X,Y,Z,Acceleration_Magnitude,Step,Minute,,,,
07:51.1,33.3999,-0.36405003,6.2040005,7.0950003,9.431923658,0,1,,,,
07:51.2,33.5091,0.063000001,6.6420002,9.5020504,11.59349376,0,1,,,,
07:51.3,33.6178,-2.0550001,3.7630501,6.5680504,7.843650778,0,1,,,,
07:51.4,33.7288,1.9630501,3.9120002,12.94095,13.66109433,1,1,,,,
07:51.6,33.8409,0.88500005,5.7660003,6.5800505,8.793579995,0,1,,,,
07:51.7,33.9511,1.3240501,5.8780503,9.4879503,11.2394744,0,1,,,,
07:51.8,34.088,0.65295005,6.7120504,7.9789505,10.44708646,0,1,,,,
07:51.9,34.1979,-0.21495001,4.9249501,7.4110503,8.900842856,0,1,,,,
07:52.0,34.3316,-1.7260501,4.1659503,7.7059503,8.928385121,0,1,,,,
07:52.2,34.4425,-0.67500001,4.42695,9.1620007,10.19783154,0,1,,,,
07:52.3,34.5542,-1.4629501,3.7510502,7.8930006,8.860590221,0,1,,,,
07:52.4,34.6652,0.11805001,4.0080004,10.000051,10.77399754,0,1,,,,
07:52.5,34.776,-0.83295006,3.8160002,9.30795,10.09423581,0,1,,,,
07:52.6,34.8959,-0.33705002,3.9859502,10.30395,11.05317996,0,1,,,,
07:52.7,35.024,0.20100001,4.5589504,9.1279507,10.20509254,0,1,,,,
07:52.8,35.1342,0.68895006,5.5260005,8.5390501,10.19444507,0,1,,,,
07:53.0,35.2587,0.28905001,4.2660003,9.61695,10.52463946,0,1,,,,
07:53.1,35.3877,1.6470001,3.7230003,8.52705,9.449017,0,1,,,,
07:53.2,35.4969,1.55805,4.7479501,7.5430503,9.048102441,0,1,,,,
07:53.3,35.6161,-0.11505,6.0199504,8.7360001,10.60993577,0,1,,,,
07:53.5,35.7476,-2.62695,5.6080503,11.626051,13.17255314,1,1,,,,
07:53.6,35.8691,-1.4059501,5.8900504,5.7900004,8.378155765,0,1,,,,
07:53.7,35.9907,0.15405001,3.5650501,7.6150503,8.409655444,0,1,,,,
07:53.8,36.101,1.2690001,4.5630002,8.3520002,9.601418615,0,1,,,,
07:53.9,36.2138,0.21195,3.8710501,8.8890009,9.69764346,0,1,,,,
07:54.1,36.3428,-0.37305,3.3510001,11.461051,11.94671746,0,1,,,,
07:54.2,36.483,1.503,4.4479504,6.3619504,7.906812547,0,1,,,,
07:54.3,36.593,-0.45705003,4.8000002,8.8890009,10.11252855,0,1,,,,
07:54.4,36.7043,-2.21295,5.7610502,7.6150503,9.801828308,0,1,,,,
07:54.5,36.8218,-0.95100003,6.4080005,11.81805,13.47713535,1,1,,,,
07:54.7,36.936,-1.9159501,3.2029502,6.6499505,7.625719404,0,1,,,,
07:54.8,37.0586,1.125,2.2330501,8.1460505,8.521166381,0,1,,,,
07:54.9,37.1718,1.33095,4.4580002,8.1059999,9.346252087,0,1,,,,
07:55.0,37.2834,1.5490501,4.5829501,9.8419504,10.96663009,0,1,,,,
